#
# Generated by M. Cushing, Mon May 18 15:56:03 2009
#
# The filter profile are from Tokunaga et al. (2002, PASP, 114, 180)
# and are at 65 K. The atmospheric transmission was computed using
# ATRAN at an airmass of 1.3, with a precipitable water vapor of 1 mm,
# and is meant to match the WFCAM filter system response functions
# given in Hewett et al. (2006, MNRAS, 367, 454).  The transmission
# spectrum was smoothed to R=2000 and resampled to 2 pixels per
# resolution element.  The filter transmission function was then
# resampled onto this wavelength scale.
#
#====================================
#Wavelength (microns)  Transmission
#====================================
            3.9482620         0.795
            3.9492490         0.798
            3.9502363         0.799
            3.9512239         0.797
            3.9522117         0.794
            3.9531997         0.790
            3.9541880         0.788
            3.9551766         0.794
            3.9561654         0.799
            3.9571544         0.795
            3.9581437         0.789
            3.9591333         0.787
            3.9601230         0.788
            3.9611131         0.790
            3.9621033         0.793
            3.9630939         0.792
            3.9640846         0.792
            3.9650757         0.793
            3.9660669         0.792
            3.9670585         0.786
            3.9680502         0.780
            3.9690422         0.780
            3.9700345         0.782
            3.9710270         0.782
            3.9720198         0.779
            3.9730128         0.774
            3.9740060         0.769
            3.9749995         0.762
            3.9759933         0.760
            3.9769873         0.761
            3.9779815         0.761
            3.9789760         0.756
            3.9799708         0.752
            3.9809657         0.751
            3.9819610         0.754
            3.9829565         0.759
            3.9839522         0.759
            3.9849482         0.755
            3.9859444         0.754
            3.9869409         0.755
            3.9879377         0.748
            3.9889346         0.747
            3.9899319         0.748
            3.9909294         0.746
            3.9919271         0.744
            3.9929251         0.741
            3.9939233         0.739
            3.9949218         0.737
            3.9959205         0.731
            3.9969195         0.730
            3.9979187         0.730
            3.9989182         0.729
            3.9999179         0.728
            4.0009179         0.726
            4.0019181         0.727
            4.0029186         0.726
            4.0039194         0.724
            4.0049203         0.723
            4.0059216         0.721
            4.0069230         0.714
            4.0079248         0.708
            4.0089268         0.705
            4.0099290         0.707
            4.0109315         0.711
            4.0119342         0.711
            4.0129372         0.708
            4.0139404         0.706
            4.0149439         0.705
            4.0159476         0.705
            4.0169516         0.704
            4.0179559         0.704
            4.0189604         0.700
            4.0199651         0.696
            4.0209701         0.695
            4.0219753         0.692
            4.0229808         0.691
            4.0239866         0.691
            4.0249926         0.689
            4.0259988         0.687
            4.0270053         0.688
            4.0280121         0.688
            4.0290191         0.688
            4.0300263         0.685
            4.0310338         0.681
            4.0320416         0.677
            4.0330496         0.676
            4.0340579         0.673
            4.0350664         0.668
            4.0360751         0.663
            4.0370842         0.665
            4.0380934         0.666
            4.0391030         0.665
            4.0401127         0.661
            4.0411228         0.656
            4.0421330         0.652
            4.0431436         0.648
            4.0441544         0.648
            4.0451654         0.652
            4.0461767         0.652
            4.0471882         0.653
            4.0482000         0.654
            4.0492121         0.656
            4.0502244         0.655
            4.0512369         0.653
            4.0522498         0.651
            4.0532628         0.648
            4.0542761         0.647
            4.0552897         0.650
            4.0563035         0.652
            4.0573176         0.653
            4.0583319         0.655
            4.0593465         0.654
            4.0603613         0.653
            4.0613764         0.652
            4.0623918         0.649
            4.0634074         0.646
            4.0644232         0.645
            4.0654393         0.641
            4.0664557         0.637
            4.0674723         0.632
            4.0684892         0.629
            4.0695063         0.625
            4.0705237         0.621
            4.0715413         0.619
            4.0725592         0.617
            4.0735773         0.612
            4.0745957         0.607
            4.0756144         0.602
            4.0766333         0.598
            4.0776524         0.595
            4.0786718         0.590
            4.0796915         0.584
            4.0807114         0.578
            4.0817316         0.577
            4.0827521         0.572
            4.0837727         0.564
            4.0847937         0.561
            4.0858149         0.557
            4.0868363         0.551
            4.0878580         0.543
            4.0888800         0.537
            4.0899022         0.532
            4.0909247         0.528
            4.0919474         0.524
            4.0929704         0.516
            4.0939937         0.506
            4.0950172         0.496
            4.0960409         0.487
            4.0970649         0.482
            4.0980892         0.475
            4.0991137         0.466
            4.1001385         0.456
            4.1011635         0.444
            4.1021888         0.434
            4.1032144         0.426
            4.1042402         0.418
            4.1052662         0.408
            4.1062925         0.396
            4.1073191         0.383
            4.1083460         0.370
            4.1093730         0.357
            4.1104004         0.345
            4.1114280         0.333
            4.1124558         0.323
            4.1134840         0.313
            4.1145123         0.300
            4.1155410         0.287
            4.1165698         0.275
            4.1175990         0.265
            4.1186284         0.256
            4.1196580         0.245
            4.1206879         0.233
            4.1217181         0.221
            4.1227486         0.209
            4.1237792         0.198
            4.1248102         0.187
            4.1258414         0.176
            4.1268728         0.166
            4.1279046         0.156
            4.1289365         0.148
            4.1299688         0.140
            4.1310013         0.131
            4.1320340         0.121
            4.1330670         0.113
            4.1341003         0.107
            4.1351338         0.099
            4.1361676         0.092
            4.1372016         0.086
            4.1382359         0.080
            4.1392705         0.075
            4.1403053         0.071
            4.1413404         0.065
            4.1423757         0.061
            4.1434113         0.057
            4.1444472         0.053
            4.1454833         0.047
            4.1465197         0.042
            4.1475563         0.039
            4.1485932         0.036
            4.1496303         0.034
            4.1506677         0.032
            4.1517054         0.029
            4.1527433         0.026
            4.1537815         0.024
            4.1548200         0.022
            4.1558587         0.020
            4.1568976         0.018
            4.1579369         0.017
            4.1589763         0.015
            4.1600161         0.013
            4.1610561         0.012
            4.1620963         0.011
            4.1631369         0.010
            4.1641777         0.009
            4.1652187         0.008
            4.1662600         0.007
            4.1673016         0.006
            4.1683434         0.006
            4.1693855         0.005
            4.1704278         0.004
            4.1714704         0.004
            4.1725133         0.003
            4.1735564         0.003
            4.1745998         0.002
            4.1756435         0.002
            4.1766874         0.002
            4.1777316         0.002
            4.1787760         0.001
            4.1798207         0.001
            4.1808656         0.001
            4.1819109         0.001
            4.1829563         0.001
            4.1840021         0.000
            4.1850481         0.000
            4.1860943         0.000
            4.1871409         0.000
            4.1881876         0.000
            4.1892347         0.000
            4.1902820         0.000
            4.1913296         0.000
            4.1923774         0.000
            4.1934255         0.000
            4.1944739         0.000
            4.1955225         0.000
            4.1965713         0.000
            4.1976205         0.000
            4.1986699         0.000
            4.1997196         0.000
            4.2007695         0.000
            4.2018197         0.000
            4.2028701         0.000
            4.2039209         0.000
            4.2049718         0.000
            4.2060231         0.000
            4.2070746         0.000
            4.2081264         0.000
            4.2091784         0.000
            4.2102307         0.000
            4.2112832         0.000
            4.2123361         0.000
            4.2133891         0.000
            4.2144425         0.000
            4.2154961         0.000
            4.2165500         0.000
            4.2176041         0.000
            4.2186585         0.000
            4.2197132         0.000
            4.2207681         0.000
            4.2218233         0.000
            4.2228788         0.000
            4.2239345         0.000
            4.2249905         0.000
            4.2260467         0.000
            4.2271032         0.000
            4.2281600         0.000
            4.2292170         0.000
            4.2302743         0.000
            4.2313319         0.000
            4.2323897         0.000
            4.2334478         0.000
            4.2345062         0.000
